1.996916100	2.2
4.127346939	2.3
6.263582766	2.4
8.434648526	3.1
10.570884354	3.2
12.724535147	3.3
14.850612245	3.4
16.891428571	4.1
19.030204082	4.2
21.221224490	4.3
22.200816327	6.1
24.277551020	6.2
26.341224490	6.3
28.398367347	6.4
30.510748299	7.1
32.568820862	7.2
34.599183673	7.3
36.667210884	27.4
38.682721088	8.1
40.646530612	8.2
42.768979592	8.3
44.793469388	8.4
46.807074830	9.1
48.848979592	9.2
50.864761905	9.3
52.832653061	9.4
54.939863946	10.1
56.988004535	10.2
59.019319728	10.3
61.030748299	10.4
63.161995465	11.1
65.191020408	11.2
67.296712018	11.3
69.296281179	11.4
70.287074830	12.1
72.438185941	12.2
74.439637188	12.3
76.489455782	12.4
78.560816327	13.1
80.565759637	13.2
82.584285714	13.3
84.126326531	13.4
86.686734694	14.1
88.651678005	14.2
90.669546485	14.3
92.709387755	14.4
94.226031746	15.1
96.310589569	15.2
98.405986395	15.3
100.951496599	16.2
103.125941043	16.3
105.198594104	16.4
107.262063492	17.1
109.312947846	17.2
111.427437642	17.3
113.364807256	17.4
115.377528345	18.1
117.554172336	18.2
118.624081633	18.3
120.518253968	18.4
122.789229025	19.1
124.709319728	19.2
126.771133787	19.3
128.765986395	19.4
130.783378685	20.1
132.782267574	20.2
134.800362812	20.3
136.829387755	20.4
137.854353741	21.2
139.877097506	21.3
141.924285714	21.4
144.031700680	22.1
146.212902494	22.3
148.280249433	22.4
149.974943311	23.1
152.003197279	23.2
154.012086168	23.3
156.003605442	23.4
158.064829932	24.1
160.004081633	24.2
162.049455782	24.3
163.508163265	24.4
165.546530612	25.1
167.461836735	25.2
169.450362812	25.3
171.485351474	25.4
173.474126984	26.1
175.472539683	26.2
177.488594104	26.3
179.528480726	26.4
181.543696145	27.1
183.535374150	27.2
185.534920635	27.3
