0.185759637	1,am
1.494965986	1,G
2.753832200	1,C
3.963605442	1,C
5.259773243	1,am
6.511519274	1,G
7.780975057	1,C
9.030158730	1,C
10.263106576	1,am
11.439387755	1,G
12.628027211	1,C
13.831201814	1,C
15.065102041	1,am
16.269523810	1,G
17.457573696	1,C
18.664399093	1,C
19.900181406	1,am
21.111337868	1,G
22.330045351	1,C
23.537074830	1,C
24.787482993	1,am
25.970589569	1,G
27.134648526	1,C
28.323854875	1,C
29.522925170	1,am
30.663854875	1,G
31.931995465	1,C
33.126984127	1,C
34.309841270	1,am
35.523129252	1,G
36.724149660	single,C
37.933582766	none
39.202607710	2,am
40.458662132	2,G
41.629841270	2,C
42.757732426	2,C
43.908843537	2,am
45.093310658	2,G
46.186394558	2,C
47.306258503	2,C
48.497732426	2,am
49.704036281	2,G
50.843560091	2,C
51.979206349	2,C
53.156213152	2,am
54.353673469	2,G
55.471247166	2,C
56.671632653	2,C
57.813673469	1,am
58.977891156	1,G
60.178820862	1,C
61.377188209	1,C
62.603378685	1,am
63.779433107	1,G
65.022063492	1,C
66.191383220	1,C
67.384489796	1,am
68.578321995	1,G
69.730226757	1,C
70.951315193	1,C
72.142993197	1,am
73.278775510	1,G
74.437437642	1,C
75.679092971	1,C
76.863605442	1,am
78.046417234	1,G
79.227573696	1,C
80.445691610	1,C
81.609183673	1,am
82.811065760	1,G
83.914126984	single,C
85.163854875	none
86.540770975	2,am
87.776961451	2,G
88.948979592	2,C
90.068480726	2,C
91.187891156	2,am
92.352902494	2,G
93.524149660	2,C
94.701292517	2,C
95.846077098	2,am
97.007551020	2,G
98.206371882	2,C
99.398435374	2,C
100.593378685	2,am
101.717346939	2,G
102.892086168	2,C
104.040068027	2,C
105.286167800	none
106.541111111	none
107.722131519	none
108.904739229	none
110.091405896	2,am
111.220997732	2,am
112.345464853	3,G
113.436938776	4,G
114.574965986	2,C
115.721746032	2,C
116.891746032	3,Fmaj7
117.973696145	4,Fmaj7
119.102585034	2,am
120.278004535	2,am
121.419886621	3,G
122.487641723	4,G
123.581655329	2,C
124.739251701	2,C
125.808616780	single,Fmaj7
127.018911565	none
127.976780045	single,am
129.161133787	single,G
130.300385488	single,C
131.555873016	none
132.706281179	single,am
133.810498866	single,G
135.104943311	single,C
136.408344671	none
137.593786848	2,am
138.736870748	2,G
139.902517007	2,C
141.083514739	2,C
142.215578231	2,am
143.320952381	2,G
144.494603175	2,C
145.633696145	2,C
146.883356009	2,am
148.071292517	2,G
149.199365079	2,C
150.400476190	2,C
151.541768707	2,am
152.697392290	2,G
153.884875283	2,C
154.995487528	2,C
156.155827664	2,am
157.307981859	2,G
158.444489796	2,C
159.628684807	2,C
160.817074830	2,am
161.963038549	2,G
163.116167800	2,C
164.282448980	2,C
165.441972789	2,am
166.606394558	2,G
167.775510204	2,C
168.949727891	2,C
170.146258503	2,am
171.322380952	2,G
172.482380952	2,C
173.597142857	2,C
174.772721088	2,am
175.903537415	2,G
177.104852608	2,C
178.277369615	2,C
179.471383220	2,am
180.686394558	2,G
181.845124717	2,C
183.058956916	2,C
184.243650794	2,am
185.411541950	2,G
186.590725624	2,C
187.825850340	2,C
189.075578231	2,am
190.296394558	2,G
191.489931973	2,C
192.751587302	2,C
193.902653061	2,am
195.080294785	2,G
196.396916100	single,C
