8.074399093	4
8.261224490	3
8.448072562	1
12.716553288	5
13.264399093	5
13.799546485	4
14.337732426	4
14.852018141	3
15.377777778	3
15.891156463	2
16.415419501	2
16.952380952	1
17.454875283	1
17.984580499	2
18.499773243	2
19.066893424	2
19.579138322	2
21.699773243	2
21.855782313	3
22.019047619	5
22.214965986	1
22.526984127	3
22.708390023	5
23.194557823	1
23.571882086	3
23.760544218	5
24.297505669	1
24.627664399	3
24.834467120	5
25.331519274	1
25.672562358	3
25.846712018	5
26.376417234	2
26.877097506	2
27.385034014	3
27.902426304	2
28.411791383	2
29.470272109	4
30.487142857	5
31.016031746	5
31.535600907	4
32.047165533	4
32.544217687	5
33.063718821	5
33.570975057	4
33.886621315	4
34.579591837	3
35.109297052	3
35.628117914	3
36.161451247	1
36.977777778	4
38.606802721	3
39.151020408	5
39.677097506	4
40.214058957	5
40.685714286	2
41.219047619	5
41.705215420	3
42.243378685	5
42.742857143	5
43.080272109	4
44.774603175	5
46.305668934	3
46.610430839	3
47.840362812	4
48.203242630	4
50.292970522	3
50.659410431	3
56.957664399	2
60.027210884	5
60.357369615	4
60.718594104	3
