0.185759637	42.3
1.494965986	1.1
2.753832200	1.2
3.963605442	1.3
5.259773243	1.4
6.511519274	2.1
7.780975057	2.2
9.030158730	2.3
10.263106576	2.4
11.439387755	3.1
12.628027211	3.2
13.831201814	3.3
15.065102041	3.4
16.269523810	4.1
17.457573696	4.2
18.664399093	4.3
19.900181406	4.4
21.111337868	5.1
22.330045351	5.2
23.537074830	5.3
24.787482993	5.4
25.970589569	6.1
27.134648526	6.2
28.323854875	6.3
29.522925170	6.4
30.663854875	7.1
31.931995465	7.2
33.126984127	7.3
34.309841270	7.4
35.523129252	8.1
36.724149660	8.2
37.933582766	8.3
39.202607710	8.4
40.458662132	9.1
41.629841270	9.2
42.757732426	9.3
43.908843537	9.4
45.093310658	10.1
46.186394558	10.2
47.306258503	10.3
48.497732426	10.4
49.704036281	11.1
50.843560091	11.2
51.979206349	11.3
53.156213152	11.4
54.353673469	12.1
55.471247166	12.2
56.671632653	12.3
57.813673469	12.4
58.977891156	13.1
60.178820862	13.2
61.377188209	13.3
62.603378685	13.4
63.779433107	14.1
65.022063492	14.2
66.191383220	14.3
67.384489796	14.4
68.578321995	15.1
69.730226757	15.2
70.951315193	15.3
72.142993197	15.4
73.278775510	16.1
74.437437642	16.2
75.679092971	16.3
76.863605442	16.4
78.046417234	17.1
79.227573696	17.2
80.445691610	17.3
81.609183673	17.4
82.811065760	18.1
83.914126984	18.2
85.163854875	18.3
86.441201814	18.4
87.776961451	19.1
88.948979592	19.2
90.068480726	19.3
91.187891156	19.4
92.352902494	20.1
93.524149660	20.2
94.701292517	20.3
95.846077098	20.4
97.007551020	21.1
98.206371882	21.2
99.398435374	21.3
100.593378685	21.4
101.717346939	22.1
102.892086168	22.2
104.040068027	22.3
105.286167800	22.4
106.541111111	23.1
107.722131519	23.2
108.904739229	23.3
110.091405896	23.4
111.220997732	24.1
112.345464853	24.2
113.436938776	24.3
114.574965986	24.4
115.721746032	25.1
116.891746032	25.2
117.973696145	25.3
119.102585034	25.4
120.278004535	26.1
121.419886621	26.2
122.487641723	26.3
123.581655329	26.4
124.739251701	27.1
125.808616780	27.2
127.018911565	27.3
128.195124717	27.4
129.161133787	28.1
130.300385488	28.2
131.555873016	28.3
132.706281179	28.4
133.810498866	29.1
135.104943311	29.2
136.408344671	29.3
137.593786848	29.4
138.736870748	30.1
139.902517007	30.2
141.083514739	30.3
142.215578231	30.4
143.320952381	31.1
144.494603175	31.2
145.633696145	31.3
146.883356009	31.4
148.071292517	32.1
149.199365079	32.2
150.400476190	32.3
151.541768707	32.4
152.697392290	33.1
153.884875283	33.2
154.995487528	33.3
156.155827664	33.4
157.307981859	34.1
158.444489796	34.2
159.628684807	34.3
160.817074830	34.4
161.963038549	35.1
163.116167800	35.2
164.282448980	35.3
165.441972789	35.4
166.606394558	36.1
167.775510204	36.2
168.949727891	36.3
170.146258503	36.4
171.322380952	37.1
172.482380952	37.2
173.597142857	37.3
174.772721088	37.4
175.903537415	38.1
177.104852608	38.2
178.277369615	38.3
179.471383220	38.4
180.686394558	39.1
181.845124717	39.2
183.058956916	39.3
184.243650794	39.4
185.411541950	40.1
186.590725624	40.2
187.825850340	40.3
189.075578231	40.4
190.296394558	41.1
191.489931973	41.2
192.751587302	41.3
193.902653061	41.4
195.080294785	42.1
196.396916100	42.2
